Data As Of,Totals By,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
2023-09-27,By Month,Texas,All Sexes,30-39 years,49,568,36,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,80,740,62,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,127,951,99,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,203,1327,157,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,509,3667,468,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,384,2876,375,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,561,4285,560,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,619,4746,582,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,460,4949,468,0
2023-09-27,By Month,Texas,Male,All Ages,1272,10493,1227,0
2023-09-27,By Month,Texas,Male,Under 1 year,0,100,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,194,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,21,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,38,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,200,0,0
2023-09-27,By Month,Texas,Male,18-29 years,0,311,0,0
2023-09-27,By Month,Texas,Male,25-34 years,18,310,11,0
2023-09-27,By Month,Texas,Male,30-39 years,30,365,24,0
2023-09-27,By Month,Texas,Male,35-44 years,43,459,33,0
2023-09-27,By Month,Texas,Male,40-49 years,77,599,53,0
2023-09-27,By Month,Texas,Male,45-54 years,132,832,89,0
2023-09-27,By Month,Texas,Male,50-64 years,325,2214,274,0
2023-09-27,By Month,Texas,Male,55-64 years,243,1723,220,0
2023-09-27,By Month,Texas,Male,65-74 years,327,2452,331,0
2023-09-27,By Month,Texas,Male,75-84 years,329,2450,321,0
2023-09-27,By Month,Texas,Male,85 years and over,173,1908,217,0
2023-09-27,By Month,Texas,Female,All Ages,1070,9398,997,0
2023-09-27,By Month,Texas,Female,Under 1 year,0,66,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,102,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,10,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,17,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,66,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,118,0,0
2023-09-27,By Month,Texas,Female,25-34 years,0,140,0,0
2023-09-27,By Month,Texas,Female,30-39 years,19,203,12,0
2023-09-27,By Month,Texas,Female,35-44 years,37,281,29,0
2023-09-27,By Month,Texas,Female,40-49 years,50,352,46,0
2023-09-27,By Month,Texas,Female,45-54 years,71,495,68,0
2023-09-27,By Month,Texas,Female,50-64 years,184,1453,194,0
2023-09-27,By Month,Texas,Female,55-64 years,141,1153,155,0
2023-09-27,By Month,Texas,Female,65-74 years,234,1833,229,0
2023-09-27,By Month,Texas,Female,75-84 years,290,2296,261,0
2023-09-27,By Month,Texas,Female,85 years and over,287,3041,251,0
2023-09-27,By Month,Texas,All Sexes,All Ages,2867,21227,2586,12
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,162,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,288,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,29,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,57,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,0,283,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,15,485,10,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,25,503,14,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,46,591,32,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,78,711,60,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,130,972,102,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,180,1458,145,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,563,3951,492,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,465,3084,411,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,719,4619,670,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,746,4994,715,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,645,5327,562,0
2023-09-27,By Month,Texas,Male,All Ages,1603,11324,1458,0
2023-09-27,By Month,Texas,Male,Under 1 year,0,92,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,176,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,21,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,36,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,209,0,0
2023-09-27,By Month,Texas,Male,18-29 years,0,362,0,0
2023-09-27,By Month,Texas,Male,25-34 years,14,363,0,0
2023-09-27,By Month,Texas,Male,30-39 years,21,398,11,0
2023-09-27,By Month,Texas,Male,35-44 years,39,458,33,0
2023-09-27,By Month,Texas,Male,40-49 years,82,625,60,0
2023-09-27,By Month,Texas,Male,45-54 years,120,934,90,0
2023-09-27,By Month,Texas,Male,50-64 years,365,2499,313,0
2023-09-27,By Month,Texas,Male,55-64 years,300,1947,257,0
2023-09-27,By Month,Texas,Male,65-74 years,407,2615,374,0
2023-09-27,By Month,Texas,Male,75-84 years,420,2559,415,0
2023-09-27,By Month,Texas,Male,85 years and over,299,2090,279,0
2023-09-27,By Month,Texas,Female,All Ages,1264,9903,1128,0
2023-09-27,By Month,Texas,Female,Under 1 year,0,70,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,112,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,0,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,21,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,74,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,123,0,0
2023-09-27,By Month,Texas,Female,25-34 years,11,140,0,0
2023-09-27,By Month,Texas,Female,30-39 years,25,193,21,0
2023-09-27,By Month,Texas,Female,35-44 years,39,253,27,0
2023-09-27,By Month,Texas,Female,40-49 years,48,347,42,0
2023-09-27,By Month,Texas,Female,45-54 years,60,524,55,0
2023-09-27,By Month,Texas,Female,50-64 years,198,1452,179,0
2023-09-27,By Month,Texas,Female,55-64 years,165,1137,154,0
2023-09-27,By Month,Texas,Female,65-74 years,312,2004,296,0
2023-09-27,By Month,Texas,Female,75-84 years,326,2435,300,0
2023-09-27,By Month,Texas,Female,85 years and over,346,3237,283,0
2023-09-27,By Month,Texas,All Sexes,All Ages,5224,23446,4038,14
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,179,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,306,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,28,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,46,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,0,283,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,21,474,21,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,51,529,40,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,75,656,57,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,128,779,94,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,219,1047,163,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,315,1531,258,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,967,4269,739,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,784,3377,584,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,1278,5067,1043,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,1458,5742,1157,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,1203,5885,856,0
2023-09-27,By Month,Texas,Male,All Ages,3071,12689,2377,0
2023-09-27,By Month,Texas,Male,Under 1 year,0,95,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,180,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,16,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,32,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,199,0,0
2023-09-27,By Month,Texas,Male,18-29 years,12,332,10,0
2023-09-27,By Month,Texas,Male,25-34 years,29,366,22,0
2023-09-27,By Month,Texas,Male,30-39 years,48,436,37,0
2023-09-27,By Month,Texas,Male,35-44 years,83,493,60,0
2023-09-27,By Month,Texas,Male,40-49 years,146,657,102,0
2023-09-27,By Month,Texas,Male,45-54 years,197,952,155,0
2023-09-27,By Month,Texas,Male,50-64 years,604,2639,447,0
2023-09-27,By Month,Texas,Male,55-64 years,498,2091,357,0
2023-09-27,By Month,Texas,Male,65-74 years,809,2988,664,0
2023-09-27,By Month,Texas,Male,75-84 years,863,3004,680,0
2023-09-27,By Month,Texas,Male,85 years and over,586,2453,435,0
2023-09-27,By Month,Texas,Female,All Ages,2153,10757,1661,0
2023-09-27,By Month,Texas,Female,Under 1 year,0,84,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,126,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,12,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,14,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,84,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,142,11,0
2023-09-27,By Month,Texas,Female,25-34 years,22,163,18,0
2023-09-27,By Month,Texas,Female,30-39 years,27,220,20,0
2023-09-27,By Month,Texas,Female,35-44 years,45,286,34,0
2023-09-27,By Month,Texas,Female,40-49 years,73,390,61,0
2023-09-27,By Month,Texas,Female,45-54 years,118,579,103,0
2023-09-27,By Month,Texas,Female,50-64 years,363,1630,292,0
2023-09-27,By Month,Texas,Female,55-64 years,286,1286,227,0
2023-09-27,By Month,Texas,Female,65-74 years,469,2079,379,0
2023-09-27,By Month,Texas,Female,75-84 years,595,2738,477,0
2023-09-27,By Month,Texas,Female,85 years and over,617,3432,421,0
2023-09-27,By Month,Texas,All Sexes,All Ages,7557,27012,5412,26
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,152,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,256,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,24,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,39,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,15,302,12,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,29,509,22,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,54,548,31,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,104,683,65,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,166,853,122,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,307,1199,224,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,491,1756,366,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,1373,4828,1011,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,1087,3801,792,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,1874,5966,1405,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,2061,6639,1532,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,1807,6932,1149,0
2023-09-27,By Month,Texas,Male,All Ages,4314,14641,3115,16
2023-09-27,By Month,Texas,Male,Under 1 year,0,86,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,151,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,10,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,22,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,237,0,0
2023-09-27,By Month,Texas,Male,18-29 years,16,383,0,0
2023-09-27,By Month,Texas,Male,25-34 years,26,394,15,0
2023-09-27,By Month,Texas,Male,30-39 years,59,465,37,0
2023-09-27,By Month,Texas,Male,35-44 years,108,551,76,0
2023-09-27,By Month,Texas,Male,40-49 years,218,775,150,0
2023-09-27,By Month,Texas,Male,45-54 years,351,1154,254,0
2023-09-27,By Month,Texas,Male,50-64 years,880,3027,636,0
2023-09-27,By Month,Texas,Male,55-64 years,679,2347,482,0
2023-09-27,By Month,Texas,Male,65-74 years,1151,3514,851,0
2023-09-27,By Month,Texas,Male,75-84 years,1172,3545,883,0
2023-09-27,By Month,Texas,Male,85 years and over,817,2781,548,0
2023-09-27,By Month,Texas,Female,All Ages,3243,12371,2297,10
2023-09-27,By Month,Texas,Female,Under 1 year,0,66,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,105,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,14,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,17,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,65,0,0
2023-09-27,By Month,Texas,Female,18-29 years,13,126,13,0
2023-09-27,By Month,Texas,Female,25-34 years,28,154,16,0
2023-09-27,By Month,Texas,Female,30-39 years,45,218,28,0
2023-09-27,By Month,Texas,Female,35-44 years,58,302,46,0
2023-09-27,By Month,Texas,Female,40-49 years,89,424,74,0
2023-09-27,By Month,Texas,Female,45-54 years,140,602,112,0
2023-09-27,By Month,Texas,Female,50-64 years,493,1801,375,0
2023-09-27,By Month,Texas,Female,55-64 years,408,1454,310,0
2023-09-27,By Month,Texas,Female,65-74 years,723,2452,554,0
2023-09-27,By Month,Texas,Female,75-84 years,889,3094,649,0
2023-09-27,By Month,Texas,Female,85 years and over,990,4151,601,0
2023-09-27,By Month,Texas,All Sexes,All Ages,10725,30681,7364,20
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,160,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,288,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,37,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,41,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,15,297,15,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,49,486,33,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,104,571,69,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,151,750,107,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,228,955,165,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,400,1302,274,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,638,1918,433,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,1959,5546,1340,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,1574,4393,1073,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,2727,6947,1987,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,2945,7695,2027,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,2486,7667,1589,0
2023-09-27,By Month,Texas,Male,All Ages,6173,16707,4331,11
2023-09-27,By Month,Texas,Male,Under 1 year,0,87,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,171,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,22,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,26,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,209,0,0
2023-09-27,By Month,Texas,Male,18-29 years,26,336,16,0
2023-09-27,By Month,Texas,Male,25-34 years,66,402,45,0
2023-09-27,By Month,Texas,Male,30-39 years,103,520,71,0
2023-09-27,By Month,Texas,Male,35-44 years,153,620,108,0
2023-09-27,By Month,Texas,Male,40-49 years,271,831,183,0
2023-09-27,By Month,Texas,Male,45-54 years,444,1232,296,0
2023-09-27,By Month,Texas,Male,50-64 years,1290,3508,874,0
2023-09-27,By Month,Texas,Male,55-64 years,1021,2768,690,0
2023-09-27,By Month,Texas,Male,65-74 years,1673,4056,1190,0
2023-09-27,By Month,Texas,Male,75-84 years,1698,4137,1216,0
2023-09-27,By Month,Texas,Male,85 years and over,1106,3148,777,0
2023-09-27,By Month,Texas,Female,All Ages,4552,13974,3033,0
2023-09-27,By Month,Texas,Female,Under 1 year,0,73,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,117,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,15,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,15,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,88,10,0
2023-09-27,By Month,Texas,Female,18-29 years,23,150,17,0
2023-09-27,By Month,Texas,Female,25-34 years,38,169,24,0
2023-09-27,By Month,Texas,Female,30-39 years,48,230,36,0
2023-09-27,By Month,Texas,Female,35-44 years,75,335,57,0
2023-09-27,By Month,Texas,Female,40-49 years,129,471,91,0
2023-09-27,By Month,Texas,Female,45-54 years,194,686,137,0
2023-09-27,By Month,Texas,Female,50-64 years,669,2038,466,0
2023-09-27,By Month,Texas,Female,55-64 years,553,1625,383,0
2023-09-27,By Month,Texas,Female,65-74 years,1054,2891,797,0
2023-09-27,By Month,Texas,Female,75-84 years,1247,3558,811,0
2023-09-27,By Month,Texas,Female,85 years and over,1380,4519,812,0
2023-09-27,By Month,Texas,All Sexes,All Ages,5831,24064,4427,15
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,159,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,287,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,27,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,61,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,14,278,11,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,30,445,27,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,61,510,50,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,105,684,72,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,141,790,96,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,257,1066,173,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,431,1652,294,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,1273,4685,942,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,1018,3690,763,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,1582,5498,1216,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,1554,5847,1203,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,1025,5552,789,0
2023-09-27,By Month,Texas,Male,All Ages,3469,13203,2627,0
2023-09-27,By Month,Texas,Male,Under 1 year,0,89,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,173,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,14,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,38,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,215,0,0
2023-09-27,By Month,Texas,Male,18-29 years,18,334,18,0
2023-09-27,By Month,Texas,Male,25-34 years,39,353,33,0
2023-09-27,By Month,Texas,Male,30-39 years,65,449,45,0
2023-09-27,By Month,Texas,Male,35-44 years,87,506,60,0
2023-09-27,By Month,Texas,Male,40-49 years,161,657,109,0
2023-09-27,By Month,Texas,Male,45-54 years,283,1041,188,0
2023-09-27,By Month,Texas,Male,50-64 years,831,2963,593,0
2023-09-27,By Month,Texas,Male,55-64 years,659,2320,477,0
2023-09-27,By Month,Texas,Male,65-74 years,1001,3272,756,0
2023-09-27,By Month,Texas,Male,75-84 years,910,3109,701,0
2023-09-27,By Month,Texas,Male,85 years and over,481,2246,404,0
2023-09-27,By Month,Texas,Female,All Ages,2362,10861,1800,0
2023-09-27,By Month,Texas,Female,Under 1 year,0,70,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,114,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,13,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,23,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,63,0,0
2023-09-27,By Month,Texas,Female,18-29 years,12,111,0,0
2023-09-27,By Month,Texas,Female,25-34 years,22,157,17,0
2023-09-27,By Month,Texas,Female,30-39 years,40,235,27,0
2023-09-27,By Month,Texas,Female,35-44 years,54,284,36,0
2023-09-27,By Month,Texas,Female,40-49 years,96,409,64,0
2023-09-27,By Month,Texas,Female,45-54 years,148,611,106,0
2023-09-27,By Month,Texas,Female,50-64 years,442,1722,349,0
2023-09-27,By Month,Texas,Female,55-64 years,359,1370,286,0
2023-09-27,By Month,Texas,Female,65-74 years,581,2226,460,0
2023-09-27,By Month,Texas,Female,75-84 years,644,2738,502,0
2023-09-27,By Month,Texas,Female,85 years and over,544,3306,385,0
2023-09-27,By Month,Texas,All Sexes,All Ages,2673,21061,2634,10
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,191,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,317,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,28,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,52,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,0,300,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,13,505,16,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,35,543,31,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,62,640,47,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,105,861,80,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,182,1137,140,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,239,1519,200,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,640,4118,601,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,513,3223,489,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,772,4656,736,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,585,4798,621,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,418,4890,466,0
2023-09-27,By Month,Texas,Male,All Ages,1531,11414,1491,0
2023-09-27,By Month,Texas,Male,Under 1 year,0,113,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,189,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,11,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,32,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,209,0,0
2023-09-27,By Month,Texas,Male,18-29 years,0,358,0,0
2023-09-27,By Month,Texas,Male,25-34 years,18,377,17,0
2023-09-27,By Month,Texas,Male,30-39 years,38,437,28,0
2023-09-27,By Month,Texas,Male,35-44 years,65,539,47,0
2023-09-27,By Month,Texas,Male,40-49 years,111,697,87,0
2023-09-27,By Month,Texas,Male,45-54 years,151,948,118,0
2023-09-27,By Month,Texas,Male,50-64 years,410,2539,360,0
2023-09-27,By Month,Texas,Male,55-64 years,329,1991,299,0
2023-09-27,By Month,Texas,Male,65-74 years,456,2709,437,0
2023-09-27,By Month,Texas,Male,75-84 years,321,2521,333,0
2023-09-27,By Month,Texas,Male,85 years and over,189,1964,236,0
2023-09-27,By Month,Texas,Female,All Ages,1142,9647,1143,0
2023-09-27,By Month,Texas,Female,Under 1 year,0,78,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,128,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,17,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,20,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,91,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,147,0,0
2023-09-27,By Month,Texas,Female,25-34 years,17,166,14,0
2023-09-27,By Month,Texas,Female,30-39 years,24,203,19,0
2023-09-27,By Month,Texas,Female,35-44 years,40,322,33,0
2023-09-27,By Month,Texas,Female,40-49 years,71,440,53,0
2023-09-27,By Month,Texas,Female,45-54 years,88,571,82,0
2023-09-27,By Month,Texas,Female,50-64 years,230,1579,241,0
2023-09-27,By Month,Texas,Female,55-64 years,184,1232,190,0
2023-09-27,By Month,Texas,Female,65-74 years,316,1947,299,0
2023-09-27,By Month,Texas,Female,75-84 years,264,2277,288,0
2023-09-27,By Month,Texas,Female,85 years and over,229,2926,230,0
2023-09-27,By Month,Texas,All Sexes,All Ages,1460,19162,1810,0
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,200,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,330,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,38,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,40,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,0,334,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,19,510,0,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,28,520,31,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,44,632,44,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,70,794,55,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,115,999,99,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,186,1358,192,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,406,3742,442,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,292,2929,314,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,394,4169,488,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,274,4317,406,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,206,4463,316,0
2023-09-27,By Month,Texas,Male,All Ages,811,10163,1011,0
2023-09-27,By Month,Texas,Male,Under 1 year,0,107,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,190,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,19,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,23,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,259,0,0
2023-09-27,By Month,Texas,Male,18-29 years,13,391,0,0
2023-09-27,By Month,Texas,Male,25-34 years,18,370,18,0
2023-09-27,By Month,Texas,Male,30-39 years,28,434,27,0
2023-09-27,By Month,Texas,Male,35-44 years,43,529,33,0
2023-09-27,By Month,Texas,Male,40-49 years,65,623,53,0
2023-09-27,By Month,Texas,Male,45-54 years,111,836,113,0
2023-09-27,By Month,Texas,Male,50-64 years,250,2281,268,0
2023-09-27,By Month,Texas,Male,55-64 years,179,1776,188,0
2023-09-27,By Month,Texas,Male,65-74 years,211,2368,288,0
2023-09-27,By Month,Texas,Male,75-84 years,152,2160,230,0
2023-09-27,By Month,Texas,Male,85 years and over,92,1716,136,0
2023-09-27,By Month,Texas,Female,All Ages,649,8999,799,0
2023-09-27,By Month,Texas,Female,Under 1 year,0,93,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,140,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,19,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,17,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,75,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,119,0,0
2023-09-27,By Month,Texas,Female,25-34 years,10,150,13,0
2023-09-27,By Month,Texas,Female,30-39 years,16,198,17,0
2023-09-27,By Month,Texas,Female,35-44 years,27,265,22,0
2023-09-27,By Month,Texas,Female,40-49 years,50,376,46,0
2023-09-27,By Month,Texas,Female,45-54 years,75,522,79,0
2023-09-27,By Month,Texas,Female,50-64 years,156,1461,174,0
2023-09-27,By Month,Texas,Female,55-64 years,113,1153,126,0
2023-09-27,By Month,Texas,Female,65-74 years,183,1801,200,0
2023-09-27,By Month,Texas,Female,75-84 years,122,2157,176,0
2023-09-27,By Month,Texas,Female,85 years and over,114,2747,180,0
2023-09-27,By Month,Texas,All Sexes,All Ages,1209,19221,1568,0
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,162,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,300,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,40,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,52,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,10,315,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,24,547,12,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,36,608,21,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,53,687,47,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,81,782,72,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,112,995,91,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,144,1375,135,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,343,3702,376,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,261,2897,294,0
